Month of April 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"846,411", N.A. ,N.A.,"618,628", N.A. ,N.A.,73.10%, N.A. ,N.A.,$204.50, N.A. ,N.A.
,,,,,,,,,,,,,,
,O'ahu ,,"291,867", N.A. ,N.A.,"208,774", N.A. ,N.A.,71.50%, N.A. ,N.A.,$163.17, N.A. ,N.A.
,O'ahu ,Waik'k',"118,258", N.A. ,N.A.,"87,960", N.A. ,N.A.,74.40%, N.A. ,N.A.,$141.28, N.A. ,N.A.
,,,,,,,,,,,,,,
,Maui County,,"257,736", N.A. ,N.A.,"202,217", N.A. ,N.A.,78.50%, N.A. ,N.A.,$247.45, N.A. ,N.A.
,Maui County,Wailea/K'hei,"122,382", N.A. ,N.A.,"97,154", N.A. ,N.A.,79.40%, N.A. ,N.A.,$235.68, N.A. ,N.A.
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"103,529", N.A. ,N.A.,"81,216", N.A. ,N.A.,78.40%, N.A. ,N.A.,$277.96, N.A. ,N.A.
,,,,,,,,,,,,,,
,Island of Hawai'i,,"185,721", N.A. ,N.A.,"120,458", N.A. ,N.A.,64.90%, N.A. ,N.A.,$162.86, N.A. ,N.A.
,Island of Hawai'i,Kona,"90,436", N.A. ,N.A.,"62,909", N.A. ,N.A.,69.60%, N.A. ,N.A.,$132.08, N.A. ,N.A.
,Island of Hawai'i,Hilo/Honoka'a,"34,608", N.A. ,N.A.,"19,893", N.A. ,N.A.,57.50%, N.A. ,N.A.,$89.84, N.A. ,N.A.
,,,,,,,,,,,,,,
,Kaua'i ,,"111,087", N.A. ,N.A.,"87,179", N.A. ,N.A.,78.50%, N.A. ,N.A.,$261.37, N.A. ,N.A.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
