Month of August 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"917,218","770,181",19.10%,"681,490","526,016",29.60%,74.30%,68.30%,6.00%,$204.29,$171.12,19.40%
,,,,,,,,,,,,,,
,O'ahu ,,"274,886","243,151",13.10%,"218,374","176,653",23.60%,79.40%,72.70%,6.80%,$175.32,$127.30,37.70%
,O'ahu ,Waik'k' ,"123,254","95,301",29.30%,"103,492","73,867",40.10%,84.00%,77.50%,6.50%,$148.55,$123.50,20.30%
,,,,,,,,,,,,,,
,Maui County,,"305,246","251,036",21.60%,"236,235","176,905",33.50%,77.40%,70.50%,6.90%,$233.41,$200.62,16.30%
,Maui County,Wailea/K'hei,"146,389","120,922",21.10%,"115,313","84,005",37.30%,78.80%,69.50%,9.30%,$221.34,$199.84,10.80%
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"122,904","97,012",26.70%,"94,740","70,718",34.00%,77.10%,72.90%,4.20%,$262.43,$216.56,21.20%
,,,,,,,,,,,,,,
,Island of Hawai'i,,"204,690","176,129",16.20%,"131,841","96,944",36.00%,64.40%,55.00%,9.40%,$159.10,$140.60,13.20%
,Island of Hawai'i,Kona,"101,680","86,185",18.00%,"69,539","50,006",39.10%,68.40%,58.00%,10.40%,$126.90,$121.26,4.60%
,Island of Hawai'i,Hilo/Honoka?a,"36,842","33,090",11.30%,"21,226","16,624",27.70%,57.60%,50.20%,7.40%,$94.94,$79.47,19.50%
,,,,,,,,,,,,,,
,Kaua'i ,,"132,396","99,865",32.60%,"95,040","75,514",25.90%,71.80%,75.60%,-3.80%,$261.15,$243.67,7.20%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
