Month of June 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"885,949", N.A. ,N.A.,"653,059", N.A. ,N.A.,73.70%, N.A. ,N.A.,$203.35, N.A. ,N.A.
,,,,,,,,,,,,,,
,O'ahu ,,"301,649", N.A. ,N.A.,"225,806", N.A. ,N.A.,74.90%, N.A. ,N.A.,$172.72, N.A. ,N.A.
,O'ahu ,Waik'k',"124,690", N.A. ,N.A.,"96,770", N.A. ,N.A.,77.60%, N.A. ,N.A.,$146.54, N.A. ,N.A.
,,,,,,,,,,,,,,
,Maui County,,"275,399", N.A. ,N.A.,"213,881", N.A. ,N.A.,77.70%, N.A. ,N.A.,$232.24, N.A. ,N.A.
,Maui County,Wailea/K'hei,"132,984", N.A. ,N.A.,"104,251", N.A. ,N.A.,78.40%, N.A. ,N.A.,$221.03, N.A. ,N.A.
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"108,768", N.A. ,N.A.,"85,508", N.A. ,N.A.,78.60%, N.A. ,N.A.,$261.40, N.A. ,N.A.
,,,,,,,,,,,,,,
,Island of Hawai'i,,"191,023", N.A. ,N.A.,"123,874", N.A. ,N.A.,64.80%, N.A. ,N.A.,$161.77, N.A. ,N.A.
,Island of Hawai'i,Kona,"93,559", N.A. ,N.A.,"63,703", N.A. ,N.A.,68.10%, N.A. ,N.A.,$129.83, N.A. ,N.A.
,Island of Hawai'i,Hilo/Honoka'a,"34,831", N.A. ,N.A.,"20,538", N.A. ,N.A.,59.00%, N.A. ,N.A.,$92.90, N.A. ,N.A.
,,,,,,,,,,,,,,
,Kaua'i ,,"117,878", N.A. ,N.A.,"89,498", N.A. ,N.A.,75.90%, N.A. ,N.A.,$269.15, N.A. ,N.A.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
