Month of May 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"928,448", N.A. ,N.A.,"660,907", N.A. ,N.A.,71.20%, N.A. ,N.A.,$195.91, N.A. ,N.A.
,,,,,,,,,,,,,,
,O'ahu ,,"317,725", N.A. ,N.A.,"228,042", N.A. ,N.A.,71.80%, N.A. ,N.A.,$163.10, N.A. ,N.A.
,O'ahu ,Waik'k' ,"129,655", N.A. ,N.A.,"98,482", N.A. ,N.A.,76.00%, N.A. ,N.A.,$142.65, N.A. ,N.A.
,,,,,,,,,,,,,,
,Maui County,,"286,996", N.A. ,N.A.,"217,949", N.A. ,N.A.,75.90%, N.A. ,N.A.,$230.28, N.A. ,N.A.
,Maui County,Wailea/K'hei,"137,695", N.A. ,N.A.,"104,853", N.A. ,N.A.,76.10%, N.A. ,N.A.,$219.53, N.A. ,N.A.
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"113,961", N.A. ,N.A.,"87,189", N.A. ,N.A.,76.50%, N.A. ,N.A.,$257.75, N.A. ,N.A.
,,,,,,,,,,,,,,
,Island of Hawai'i,,"202,971", N.A. ,N.A.,"124,806", N.A. ,N.A.,61.50%, N.A. ,N.A.,$153.21, N.A. ,N.A.
,Island of Hawai'i,Kona,"99,190", N.A. ,N.A.,"65,927", N.A. ,N.A.,66.50%, N.A. ,N.A.,$126.26, N.A. ,N.A.
,Island of Hawai'i,Hilo/Honoka'a,"37,149", N.A. ,N.A.,"20,707", N.A. ,N.A.,55.70%, N.A. ,N.A.,$91.73, N.A. ,N.A.
,,,,,,,,,,,,,,
,Kaua'i ,,"120,756", N.A. ,N.A.,"90,110", N.A. ,N.A.,74.60%, N.A. ,N.A.,$254.98, N.A. ,N.A.
