Month of November 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"919,132","785,561",17.00%,"630,502","557,423",13.10%,68.60%,71.00%,-2.40%,$180.52,$180.69,-0.10%
,,,,,,,,,,,,,,
,O'ahu ,,"252,415","263,955",-4.40%,"170,326","180,142",-5.40%,67.50%,68.20%,-0.80%,$146.00,$144.81,0.80%
,O'ahu ,Waik'k' ,"126,534","105,731",19.70%,"91,125","76,918",18.50%,72.00%,72.70%,-0.70%,$115.70,$133.99,-13.60%
,,,,,,,,,,,,,,
,Maui County,,"304,163","228,908",32.90%,"230,845","182,473",26.50%,75.90%,79.70%,-3.80%,$219.87,$213.60,2.90%
,Maui County,Wailea/K'hei,"139,203","106,121",31.20%,"111,554","86,412",29.10%,80.10%,81.40%,-1.30%,$216.54,$212.36,2.00%
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"128,779","89,905",43.20%,"93,558","72,029",29.90%,72.70%,80.10%,-7.50%,$238.72,$231.03,3.30%
,,,,,,,,,,,,,,
,Island of Hawai'i,,"223,930","188,339",18.90%,"134,896","113,916",18.40%,60.20%,60.50%,-0.20%,$135.30,$147.93,-8.50%
,Island of Hawai'i,Kona,"106,215","87,014",22.10%,"69,796","57,205",22.00%,65.70%,65.70%,0.00%,$108.56,$127.86,-15.10%
,Island of Hawai'i,Hilo/Honoka?a,"48,783","43,074",13.30%,"24,878","23,121",7.60%,51.00%,53.70%,-2.70%,$81.24,$91.55,-11.30%
,,,,,,,,,,,,,,
,Kaua'i ,,"138,624","104,359",32.80%,"94,435","80,892",16.70%,68.10%,77.50%,-9.40%,$211.16,$232.47,-9.20%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
