Month of October 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"949,704","827,110",14.80%,"689,669","566,597",21.70%,72.60%,68.50%,4.10%,$191.76,$176.23,8.80%
,,,,,,,,,,,,,,
,O'ahu ,,"257,264","271,445",-5.20%,"186,284","184,767",0.80%,72.40%,68.10%,4.30%,$159.73,$140.23,13.90%
,O'ahu ,Waik'k' ,"130,787","106,304",23.00%,"101,025","77,662",30.10%,77.20%,73.10%,4.20%,$134.72,$132.65,1.60%
,,,,,,,,,,,,,,
,Maui County,,"323,332","251,128",28.80%,"255,485","184,642",38.40%,79.00%,73.50%,5.50%,$224.24,$202.32,10.80%
,Maui County,Wailea/K'hei,"153,072","119,968",27.60%,"124,187","88,401",40.50%,81.10%,73.70%,7.40%,$214.11,$197.35,8.50%
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"131,778","97,151",35.60%,"102,523","73,465",39.60%,77.80%,75.60%,2.20%,$250.99,$221.48,13.30%
,,,,,,,,,,,,,,
,Island of Hawai'i,,"225,100","193,978",16.00%,"143,702","112,067",28.20%,63.80%,57.80%,6.10%,$147.81,$147.09,0.50%
,Island of Hawai'i,Kona,"105,143","88,648",18.60%,"72,278","56,553",27.80%,68.70%,63.80%,4.90%,$131.47,$143.78,-8.60%
,Island of Hawai'i,Hilo/Honoka?a,"49,966","44,308",12.80%,"29,154","23,150",25.90%,58.30%,52.20%,6.10%,$93.29,$89.53,4.20%
,,,,,,,,,,,,,,
,Kaua'i ,,"144,008","110,559",30.30%,"104,198","85,121",22.40%,72.40%,77.00%,-4.60%,$229.97,$236.13,-2.60%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
